FISH,LAB_ID,TREATMENT,SAMPLE_DATE,SPECIES,TISSUE,SAMPLE_WEIGHT,VENLA_ng_g,DESVENLA_ng_g,FLX_ng_g,SERTRA_ng_g,NOSERTRA_ng_g
34,86,Exposed,26/9/2022,Roach,B,0.11,1.7,<LOQ,8.8,14.7,11.4
35,87,Exposed,26/9/2022,Roach,M,0.135,1.5,0.1,1.1,1.1,0.9
35,88,Exposed,26/9/2022,Roach,B,0.103,2.1,0.1,8,14.4,13.1
36,89,Exposed,26/9/2022,Roach,M,0.121,1.5,<LOQ,1.4,1.4,1.1
36,90,Exposed,26/9/2022,Roach,B,0.114,3.1,0.1,9.4,12,9.6
37,91,Exposed,26/9/2022,Roach,M,0.116,2.2,<LOQ,1.5,2,1.4
37,92,Exposed,26/9/2022,Roach,B,0.12,2.7,<LOQ,8,19.9,13.7
38,93,Exposed,17/10/2022,Roach,M,0.116,0.9,0.1,1.4,0.5,0.7
38,94,Exposed,17/10/2022,Roach,B,0.12,5.4,0.2,9.8,5.3,8.5
39,95,Exposed,17/10/2022,Roach,M,0.131,1,<LOQ,2.7,0.6,0.6
39,96,Exposed,17/10/2022,Roach,B,0.126,1.8,<LOQ,22.4,5.9,8.1
40,97,Exposed,17/10/2022,Roach,M,0.103,2.3,<LOQ,2.7,0.8,0.9
40,98,Exposed,17/10/2022,Roach,B,0.075,4,<LOQ,16.1,5.8,8
41,99,Exposed,17/10/2022,Roach,M,0.106,0.8,<LOQ,1.5,0.4,0.4
41,100,Exposed,17/10/2022,Roach,B,0.08,3.3,0.1,12.6,4.3,5.4
42,101,Exposed,17/10/2022,Roach,M,0.107,1,<LOQ,2.4,0.6,0.6
42,102,Exposed,17/10/2022,Roach,B,0.096,6.5,<LOQ,17.8,5.4,6.6
43,103,Exposed,3/10/2022,Perch,M,0.128,2.1,<LOQ,1.4,1.2,1.4
43,104,Exposed,3/10/2022,Perch,L,0.084,52.6,0.2,102.6,40.3,32.7
43,105,Exposed,3/10/2022,Perch,B,0.114,14.7,<LOQ,15.6,15.6,19.2
44,106,Exposed,3/10/2022,Perch,M,0.116,2.1,<LOQ,1.4,1.6,1.5
44,107,Exposed,3/10/2022,Perch,L,0.089,20.9,<LOQ,33.3,17.9,16.8
44,108,Exposed,3/10/2022,Perch,B,0.131,11.8,0.1,17.4,20.6,21.2
45,109,Exposed,3/10/2022,Perch,M,0.13,1.3,<LOQ,1.1,1,1
45,110,Exposed,3/10/2022,Perch,L,0.082,37.6,<LOQ,22.4,4,6.3
45,111,Exposed,3/10/2022,Perch,B,0.095,17.6,<LOQ,14.7,15.4,17.6
46,112,Exposed,3/10/2022,Perch,M,0.097,0.8,<LOQ,0.6,0.5,0.5
46,113,Exposed,3/10/2022,Perch,L,0.1,63.9,<LOQ,50.3,20.5,17.4
46,114,Exposed,3/10/2022,Perch,B,0.117,6.1,<LOQ,12.5,18,20.9
47,115,Exposed,3/10/2022,Perch,M,0.118,1.9,<LOQ,1.5,1.1,1.1
47,116,Exposed,3/10/2022,Perch,L,0.077,83.1,0.3,173.7,63.3,41.8
47,117,Exposed,3/10/2022,Perch,B,0.097,5.9,<LOQ,17,16.6,18
48,118,Exposed,17/10/2022,Pike,M,0.103,0.8,<LOQ,1.2,0.3,0.6
48,119,Exposed,17/10/2022,Pike,L,0.137,6.4,<LOQ,24,3.8,12.8
48,120,Exposed,17/10/2022,Pike,B,0.106,1.6,<LOQ,13.6,4,14.6
49,121,Exposed,17/10/2022,Pike,M,0.121,0.4,<LOQ,0.9,0.2,0.6
49,122,Exposed,17/10/2022,Pike,L,0.127,<LOQ,<LOQ,12.6,1.5,6.9
49,123,Exposed,17/10/2022,Pike,B,0.144,1.4,<LOQ,5.8,2.2,5.6
50,124,Exposed,24/9/2022,Perch,M,0.112,1,<LOQ,1.3,2.5,1.4
50,125,Exposed,24/9/2022,Perch,L,0.11,19.3,<LOQ,28.4,57.9,40.6
50,126,Exposed,24/9/2022,Perch,B,0.175,3.2,<LOQ,12.8,41.4,23
51,127,Exposed,24/9/2022,Perch,M,0.1,2.3,<LOQ,1.1,2.2,1.2
51,128,Exposed,24/9/2022,Perch,L,0.106,24.3,<LOQ,21.9,34,22.5
51,129,Exposed,24/9/2022,Perch,B,0.104,9.2,<LOQ,10.7,27.1,16.6
52,130,Exposed,24/9/2022,Perch,M,0.114,0.7,<LOQ,0.5,0.9,0.5
