"Prey_ID","Pike_ID","Date","Species","encounter_count_high_conf","encounter_count_probable","encounter_count_possible","daily_avg_dist","daily_min_dist"
"F59817","F59896",2022-10-15,"Roach",128,173,356,13.6347074844248,0.506210940273813
"F59817","F59896",2022-10-16,"Roach",5,89,208,12.1715952022322,1.51081637169344
"F59817","F59896",2022-10-17,"Roach",28,560,493,10.0965885632275,1.33869698362576
"F59817","F59896",2022-10-18,"Roach",23,170,2129,8.59895463320865,0.626307326113128
"F59817","F59896",2022-10-19,"Roach",25,187,458,13.0273677132812,1.12187788227048
"F59817","F59896",2022-10-20,"Roach",0,0,0,14.06859085293,9.07471411999985
"F59817","F59896",2022-10-21,"Roach",0,0,0,17.2302890195779,12.3805003677209
"F59817","F59896",2022-10-22,"Roach",0,0,0,18.2411945210556,12.3798561172841
"F59817","F59896",2022-10-23,"Roach",0,0,0,13.2665916128887,12.3727461072133
"F59817","F59896",2022-10-24,"Roach",0,0,0,13.43308654555,12.3690143998167
"F59817","F59896",2022-10-25,"Roach",0,0,0,15.3571080935448,12.372693725349
"F59817","F59896",2022-10-26,"Roach",0,0,0,14.7802290873955,12.383983625268
"F59817","F59896",2022-10-27,"Roach",0,0,0,17.1146552861108,12.4715639542868
"F59817","F59896",2022-10-28,"Roach",0,0,0,16.9211127093124,12.3974764046347
"F59817","F59896",2022-10-29,"Roach",0,2,122,13.1333958084659,5.98913893144409
"F59817","F59896",2022-10-30,"Roach",0,0,35,13.1977117367597,7.37168735181375
"F59817","F59897",2022-09-27,"Roach",0,0,0,31.4388202033607,14.2125347744949
"F59817","F59897",2022-09-28,"Roach",2,1,50,27.5748868922696,2.61814155162455
"F59817","F59897",2022-09-29,"Roach",0,0,0,31.8086079366502,11.959479489455
"F59817","F59897",2022-09-30,"Roach",0,4,12,29.2325411275659,3.86281035827917
"F59817","F59897",2022-10-01,"Roach",0,37,91,24.1515687643573,3.19492236105464
"F59817","F59897",2022-10-02,"Roach",0,4,46,17.0301968766198,4.71189662780059
"F59817","F59897",2022-10-03,"Roach",24,295,178,20.2324477438649,1.96184272423328
"F59817","F59897",2022-10-04,"Roach",4,46,134,33.6497697427648,2.84708497751919
"F59817","F59897",2022-10-05,"Roach",0,22,145,33.3560902096109,3.4831646337476
