"Prey_ID","Pred_ID","Species","total_encounters_high_conf","total_encounters_probable","total_encounters_possible","min_distance","mean_distance","n_days","n_days_high_conf","n_days_probable"
"F59858","F59896","Perch",196,1482,1996,0.548649050369976,19.3930797498063,34,12,18
"F59747","F59894","Perch",189,922,1683,0.665355350699135,20.6336341074476,34,10,15
"F59878","F59896","Perch",189,2206,3433,1.33580769810707,20.6348621900335,24,9,15
"F59862","F59897","Perch",184,1472,1770,0.867797161896532,22.4716017747954,34,15,25
"F59869","F59897","Perch",180,1007,1737,0.621946174390216,21.167125290134,34,17,22
"F59860","F59894","Perch",179,819,1627,0.963524642533877,21.4140898659779,34,10,17
"F59844","F59898","Perch",175,1594,3326,0.80908890555521,24.6942590586131,34,17,27
"F59845","F59894","Perch",175,626,1350,0.970000580612393,19.97730384621,34,11,17
"F59879","F59898","Perch",165,1736,3905,0.770935324495967,22.6580851858518,34,11,20
"F59856","F59894","Perch",163,671,1664,0.606489196999719,19.4121970786487,34,12,16
"F59868","F59894","Perch",163,526,1316,1.13179854134956,21.2019694956783,34,8,14
"F59850","F59895","Perch",160,767,1927,1.09133926118009,22.0625371454169,33,12,21
"F59843","F59898","Perch",150,478,929,0.947676486062259,22.1730960097149,34,10,18
"F59865","F59894","Perch",150,1503,1816,0.650170285356773,22.9277689487122,34,18,22
"F59869","F59895","Perch",149,1386,3167,0.851938616753964,20.1181761211101,33,14,21
"F59849","F59897","Perch",143,1530,2053,0.811524339742621,22.1575897410325,16,7,10
"F59851","F59896","Perch",143,994,848,1.05760959468128,22.9960819466774,33,4,12
"F59857","F59894","Perch",143,679,3118,1.10153623917601,18.3373878311735,34,10,20
"F59845","F59897","Perch",140,738,2372,0.820223978272257,21.3494823184203,34,14,23
"F59840","F59894","Perch",128,711,1407,0.768481904094763,21.0674060404481,34,7,18
"F59862","F59894","Perch",127,625,2352,0.794969029727824,22.118132185215,34,11,18
"F59850","F59897","Perch",126,1176,1981,1.27905035209736,20.7395547481328,34,13,24
"F59859","F59895","Perch",124,1093,2304,0.861171800913237,23.0296375253673,33,20,27
"F59856","F59898","Perch",123,852,2979,0.742382464505976,19.4273783914148,34,17,27
"F59854","F59894","Perch",121,716,3393,0.537882133667156,21.4544449283225,34,11,16
"F59847","F59897","Perch",117,620,1441,1.32384133208895,23.3126746981501,34,9,13
"F59846","F59898","Perch",115,667,2970,1.06647401369837,19.8646916034736,34,9,25
"F59853","F59895","Perch",112,489,876,1.37287220757842,20.0327966478745,27,6,8
"F59855","F59894","Perch",112,584,1258,0.674500101189293,21.3719487414369,34,13,17
"F59853","F59897","Perch",110,334,845,0.878715657731876,21.6139381080901,27,5,10
"F59851","F59897","Perch",109,348,562,1.78843691892917,24.8442519707102,34,3,10
"F59856","F59895","Perch",105,591,1536,0.892003329684388,21.4145839625675,33,16,25
"F59874","F59894","Perch",99,1076,2117,0.877721619580918,21.3368892661467,34,12,19
"F59851","F59898","Perch",98,604,1099,1.09653470006885,19.2444105958538,34,8,13
"F59843","F59894","Perch",90,674,1354,0.640452058685204,21.86749713614,34,7,13
"F59860","F59896","Perch",90,721,1520,0.700266346982377,22.3113348777938,34,9,18
"F59870","F59894","Perch",89,673,1239,0.587067234558756,20.1627370770976,34,8,15
"F59847","F59895","Perch",86,651,1512,1.44761218427387,22.3637849585838,33,9,10
"F59844","F59897","Perch",80,871,3894,1.25579874689314,24.5749702079842,34,17,20
"F59849","F59895","Perch",80,983,3334,0.729572192805265,21.8355015084962,16,9,15
"F59849","F59898","Perch",80,1482,581,1.00402626512961,24.4230932266953,16,9,12
"F59859","F59894","Perch",77,693,2335,1.26107695523893,21.385455973248,34,11,19
"F59847","F59894","Perch",73,534,1322,0.778108424137533,21.4085224709376,34,6,12
"F59838","F59894","Perch",70,631,2751,0.769547104557994,19.0446126487071,34,7,16
"F59846","F59894","Perch",70,593,1197,1.0504231248366,22.8057393073178,34,10,19
"F59843","F59895","Perch",66,542,1585,0.937473898288828,23.5214572820956,33,7,16
"F59851","F59895","Perch",65,532,1585,1.2205838735089,23.9195818227735,33,6,13
"F59878","F59894","Perch",65,531,2590,1.03318263498729,22.2083049746932,24,5,10
"F59843","F59897","Perch",57,343,495,1.31722653993249,27.8884808665795,34,8,15
"F59847","F59896","Perch",54,927,1864,0.917948701693476,20.2234099843303,26,9,14
"F59850","F59894","Perch",53,441,1401,1.36730973391595,20.58513692848,34,6,17
"F59850","F59896","Perch",46,999,2146,1.05835158538492,20.1213836723568,34,11,19
"F59847","F59898","Perch",45,361,1088,1.56974719406525,21.9076279052422,34,6,14
"F59841","F59894","Perch",37,398,1807,1.31777781392935,21.7053705723159,34,6,13
"F59842","F59894","Perch",35,527,3227,1.30025808630659,20.1466153509864,33,9,16
"F59866","F59898","Perch",21,326,1308,1.73479793609978,25.257015724285,27,4,12
"F59853","F59894","Perch",13,406,633,2.38965658374641,21.4540473229705,27,5,8
